line,gene,is_ATP_gene
Line 7,prophage tail fiber n-terminal domain-containingprotein,False
Line 7,protein serac1,False
Line 7,prpc,False
Line 7,prpc,False
Line 7,prpd,False
Line 7,ptra,False
Line 7,pts sugar transporter subunit iia,False
Line 7,ptsp,False
Line 7,purc,True
Line 7,purk,True
Line 7,putative acyl-coa thioester hydrolase,False
Line 7,putative frv operon regulatory protein,False
Line 7,pyrh,True
Line 7,rayt,False
Line 7,recb,False
Line 7,recc,False
Line 7,reco,False
Line 7,replication endonuclease,False
Line 7,replication endonuclease,False
Line 7,replication endonuclease,False
Line 7,rhomboid family intramembrane serine protease,False
Line 7,rhs repeat-associated core domain-containing protein,False
Line 7,rimk,True
Line 7,rlmi,False
Line 7,rlmi,False
Line 7,rlpa,False
Line 7,rlpa,False
Line 7,rpe,False
Line 7,rpsj,False
Line 7,rrrd,False
Line 7,rspa,False
Line 7,rsxc,False
Line 7,rzod,False
Line 7,sdr family oxidoreductase,False
Line 7,sdr family oxidoreductase,False
Line 7,site-specific integrase,False
Line 7,smda family multidrug abc transporter permease/atp-binding protein,False
Line 7,smdb family multidrug efflux abc transporter permease/atp-binding protein,False
Line 7,sppa,False
Line 7,ssle,False
Line 7,sulfatase-like hydrolase/transferase,False
Line 7,tag,False
Line 7,terminase atpase subunit family protein,False
Line 7,tolb,False
Line 7,tolc,False
